"","Well","Samples","Lake","Target","Concentration","Ch1+Ch2+","Ch1-Ch2+","Ch1+Ch2-","Ch1-Ch2-","logConc","log_AMR_tot","co_occur","Date","Sample","Fish_ID","Initials","Mass","Length","Fibrosis","Sex","Repro_State","Schisto_Free","Schisto_Cyst","Eust","Fib","Indv_AMR_mass","Indv_AMR_gene_mass","Lake_AMR","Lake_AMR_gene"
"87","B03","L2B_4","L2B","FAM",0,0,0,0,14887,0,0,"Neither","04-06-2023","L2B_4",4,"AKH",1.1,45.08,3,"M",3,1,0,1,"Y",0,0,0,0
"88","B04","L2B_5","L2B","FAM",0,0,0,0,14899,0,0,"Neither","04-06-2023","L2B_5",5,"AKH",1.36,48.55,3,"M",3,1,1,0,"Y",0,0,0,0
"89","B05","L2B_6","L2B","FAM",0,0,0,0,13750,0,0,"Neither","04-06-2023","L2B_6",6,"AKH",1.32,47.07,3,"M",3,0,1,0,"Y",0,0,0,0
"90","B06","L2B_7","L2B","FAM",0,0,0,0,14286,0,0,"Neither","04-06-2023","L2B_7",7,"AKH",1.19,45.42,2,"M",3,0,0,0,"Y",0,0,0,0
"91","B07","LAW_1","LAW","FAM",0,0,0,0,14068,0,0,"Neither","19-06-2023","LAW_1",1,"AKH",3,65.69,0,"F",3,2,0,0,"N",0,0,0,0
"92","B08","LAW_2","LAW","FAM",0,0,0,0,14172,0,0,"Neither","19-06-2023","LAW_2",2,"AKH",2.13,58.26,0,"M",3,0,0,0,"N",0,0,0,0
"93","B09","LAW_3","LAW","FAM",0,0,0,0,13240,0,0,"Neither","19-06-2023","LAW_3",3,"AKH",2.55,62.23,0,"M",3,0,0,0,"N",0,0,0,0
"94","B10","LAW_4","LAW","FAM",0,0,0,0,14845,0,0,"Neither","19-06-2023","LAW_4",4,"AKH",4.56,76.81,0,"F",3,0,0,0,"N",0,0,0,0
"95","B11","LAW_5","LAW","FAM",0,0,0,0,14742,0,0,"Neither","19-06-2023","LAW_5",5,"AKH",2.77,62.16,0,"M",3,0,0,0,"N",0,0,0,0
"96","B12","MER_1","MER","FAM",0,0,0,0,12999,0,0,"Neither","17-06-2023","MER_1",1,"AKH",1.69,54.28,0,"M",1,1,0,0,"N",0,0,0,0
"97","C01","MER_2","MER","FAM",0,0,1,0,14470,0,0.0769610411361284,"tap","17-06-2023","MER_2",2,"AKH",1.23,47.29,0.5,"F",1,3,0,0,"Y",0.0625699521431938,0,0.0297495296768492,0
"98","C02","MER_3","MER","FAM",0,0,0,0,14929,0,0,"Neither","17-06-2023","MER_3",3,"AKH",1.54,51.89,0.5,"F",1,3,0,0,"Y",0,0,0.0297495296768492,0
"99","C03","MER_4","MER","FAM",0,0,0,0,14615,0,0,"Neither","17-06-2023","MER_4",4,"AKH",1.3,49.33,0,"F",1,1,0,0,"N",0,0,0.0297495296768492,0
"100","C04","MER_5","MER","FAM",0,0,1,0,12939,0,0.0861776962410524,"tap","17-06-2023","MER_5",5,"AKH",2,56.64,0,"F",1,1,0,0,"N",0.0430888481205262,0,0.0297495296768492,0
"101","C05","UCL_1","UCL","FAM",0,0,0,0,15159,0,0,"Neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","C06","UCL_2","UCL","FAM",0,0,0,0,13264,0,0,"Neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","C07","UCL_3","UCL","FAM",0,0,0,0,15174,0,0,"Neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","C08","NIM_1","NIM","FAM",0,0,0,0,13472,0,0,"Neither","23-06-2023","NIM_1",1,"AKH",1.7,53.43,0,"M",1,2,0,0,"N",0,0,0,0
"105","C09","NIM_2","NIM","FAM",0,0,0,0,12338,0,0,"Neither","23-06-2023","NIM_2",2,"AKH",3.11,66.41,0,"F",3,1,0,0,"N",0,0,0,0
"106","C11","NIM_4","NIM","FAM",0,0,0,0,16550,0,0,"Neither","23-06-2023","NIM_4",4,"AKH",1.87,55.92,0,"M",1,1,0,0,"N",0,0,0,0
"107","C12","NIM_5","NIM","FAM",0,0,0,0,14080,0,0,"Neither","23-06-2023","NIM_5",5,"AKH",1.61,53.1,0,"F",1,1,0,0,"N",0,0,0,0
"108","D01","ROS_1","ROS","FAM",0,0,0,0,14260,0,0,"Neither","23-06-2023","ROS_1",1,"AKH",1.92,60.52,0,"F",3,0,0,0,"N",0,0,0,0
"109","D02","ROS_2","ROS","FAM",0,0,0,0,15363,0,0,"Neither","23-06-2023","ROS_2",2,"AKH",2.14,60.62,0,"F",3,0,0,0,"N",0,0,0,0
"110","D03","ROS_3","ROS","FAM",0,0,0,0,14299,0,0,"Neither","23-06-2023","ROS_3",3,"AKH",1.26,49.9,1,"M",3,1,1,0,"Y",0,0,0,0
"111","D04","ROS_4","ROS","FAM",0,0,0,0,13605,0,0,"Neither","23-06-2023","ROS_4",4,"AKH",1.67,56.15,2,"F",2,0,1,0,"Y",0,0,0,0
"112","D05","ROS_5","ROS","FAM",0,0,0,0,13389,0,0,"Neither","23-06-2023","ROS_5",5,"AKH",2.54,58.17,0,"M",3,0,0,0,"N",0,0,0,0
"113","D06","WOS_1","WOS","FAM",0,0,0,0,13504,0,0,"Neither","26-06-2023","WOS_1",1,"GAC",2.23,53.49,1,"F",3,2,0,0,"Y",0,0,0.00572229058705527,0
"114","D08","WOS_3","WOS","FAM",0,0,0,0,13319,0,0,"Neither","26-06-2023","WOS_3",3,"GAC",1.17,43.8,1,"F",2,2,0,0,"Y",0,0,0.00572229058705527,0
"115","D09","WOS_4","WOS","FAM",0,0,0,0,15459,0,0,"Neither","26-06-2023","WOS_4",4,"GAC",1.51,48.94,0,"F",2,1,0,0,"N",0,0,0.00572229058705527,0
"116","D11","WOS_5","WOS","FAM",0,0,0,0,15024,0,0,"Neither","26-06-2023","WOS_5",5,"GAC",2,52.75,1,"F",2,1,0,1,"Y",0,0,0.00572229058705527,0
